,单词,词频,单词释义
0,abandon,1,"vt.放弃,遗弃;n.放任,狂热"
1,aboard,1,"adv.在船(飞机、车)上,上船(飞机、车);prep.在(船、飞机、车)上,上(船、飞机、车)"
2,abroad,23,"adv.往国外,到处,海外,广泛,差得远,心里没有谱"
3,absence,7,"n.不在,缺席,缺乏,没有"
4,absent,4,"adj.不在的,缺席的,缺少的;vt.缺席"
5,absolute,2,"adj.完全的,绝对的"
6,abstract,8,"n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化"
7,abundance,1,"n.丰富,充裕,丰富充裕"
8,abuse,4,"n.滥用,虐待,辱骂,陋习;v.滥用,虐待,辱骂"
9,academy,1,"n.(高等)专科院校,研究院,学会,学术团体,学院"
10,accent,1,"n.重音,口音,重音符"
11,access,33,"n.通路,访问,入门;vt.存取,接近"
12,accident,16,"n.意外事件,事故"
13,accommodate,2,"vt.供应,供给,使适应,调节,和解,向...提供,容纳,调和;vi.适应"
14,accompany,1,"vt.陪伴,伴奏"
15,accordance,2,"n.一致,和谐"
16,accordingly,2,"adv.因此,从而"
17,accumulate,1,"v.积聚,堆积"
18,accuracy,1,"n.精确性,正确度"
19,accustomed,1,"adj.通常的,习惯的,按照风俗习惯的"
20,achievement,8,"n.成就,功绩"
21,acid,1,"n.[化]酸,<俚>迷幻药;adj.酸的,讽刺的,刻薄的"
22,acquaint,1,"vt.使熟知,通知"
23,acquire,10,"vt.获得,学到"
24,action,19,"n.动作,作用,战斗,行动,情节,(最能产生效果,最有趣,最有刺激性的活动);vt.对...起诉"
25,active,9,"adj.积极的,能起作用的,现行的,[语法]主动的,活动的,活跃的;n.[语法]主动语态,积极分子"
26,acute,1,"adj.敏锐的,[医]急性的,剧烈"
27,addition,15,"n.加,加起来,增加物,增加,加法"
28,additional,6,"adj.另外的,附加的,额外的"
29,adjust,6,"vt.调整,调节,校准,使适合"
30,admire,6,"v.赞美,钦佩,羡慕"
31,admit,2,"v.容许,承认,接纳"
32,adopt,5,"vt.采用,收养"
33,adult,14,"n.成人,成年人;adj.成人的,成熟的"
34,advanced,14,"adj.高级的,年老的,先进的"
35,advertise,4,"v.做广告,登广告"
36,advisable,2,"adj.可取的,明智的"
37,affect,16,"vt.影响,感动,侵袭,假装"
38,affection,1,"n.友爱,爱情,影响,疾病,倾向"
39,afford,22,"vt.提供,给予,供应得起"
40,agency,9,"n.代理处,行销处,代理,中介"
41,agenda,1,n.议程
42,aggressive,6,"adj.好斗的,敢作敢为的,有闯劲的,侵略性的"
43,agriculture,1,"n.农业,农艺,农学"
44,aircraft,1,n.航行器
45,airline,1,n.定期航线
46,airport,14,"n.<主美>小型民用机场,私人飞机降落场"
47,alarm,7,"n.警报,惊慌,警告器;vt.恐吓,警告"
48,album,2,"n.集邮本,照相簿,签名纪念册"
49,alert,4,"adj.提防的,警惕的;n.警惕,警报"
50,alike,2,"adj.相同的,相似的;adv.以同样的方式,类似于"
51,allow,12,"vt.允许,承认"
52,alongside,4,adv.在旁;prep.横靠
53,alter,1,v.改变
54,alternative,8,"n.二中择一,可供选择的办法,事物;adj.选择性的,二中择一的"
55,altitude,1,"n.(尤指海拔)高度,高处(海拔甚高的地方),(等级,地位等)高等"
56,amateur,1,"n.业余爱好者,业余艺术家"
57,ambassador,2,n.大使
58,ambition,1,"n.野心,雄心"
59,amid,5,prep.在...中
60,amuse,1,"vt.使发笑,使愉快"
61,analysis,6,"n.分析,分解"
62,ancient,26,"adj.远古的,旧的"
63,angle,1,"n.[数]角,角落;vi.钓鱼,追逐"
64,annoy,1,"vt.使苦恼,骚扰"
65,anticipate,1,"vt.预期,期望,过早使用,先人一着,占先;v.预订,预见,可以预料"
66,anxiety,2,"n.忧虑,焦急,渴望,热望"
67,anxious,1,"adj.观念的,担忧的,渴望的,盼望的"
68,anyway,7,"adv.无论如何,总之"
69,apartment,20,"n.<美>公寓住宅,单元住宅,房间"
70,apologize,4,"vi.(apologise)道歉,辩白"
71,apology,2,"n.(为某种思想,宗教,哲学等)辩解,道歉"
72,apparent,2,"adj.显然的,外观上的"
73,appearance,6,"n.出现,露面,外貌,外观"
74,appetite,9,"n.食欲,胃口,欲望,爱好"
75,applause,1,"n.鼓掌欢迎,欢呼"
76,appliance,1,"n.用具,器具"
77,applicant,1,"n.申请者,请求者"
78,apply,12,"vt.申请,应用;vi.申请,适用"
79,appoint,1,"vt.约定,指定(时间,地点),任命,委任"
80,appreciate,6,"vt.赏识,鉴赏,感激;vi.增值,涨价"
81,appropriate,7,adj.适当的
82,approval,5,"n.赞成,承认,正式批准"
83,approve,2,"vi.赞成,满意;vt.批准,通过;v.批准"
84,arc,3,"n.弧,弓形,拱"
85,architect,2,n.建筑师
86,argue,12,"vi.争论,辩论;vt.说服"
87,argument,10,"n.争论,辩论,论据,论点,～(for,against),意见"
88,arise,3,"vi.出现,发生,起因于"
89,arithmetic,1,"n.算术,算法"
90,arouse,6,"vt.唤醒,唤起,鼓励,引起;vi.睡醒"
91,arrange,3,"v.安排,排列,协商"
92,arrangement,1,"n.排列,安排"
93,array,1,"n.排列,编队,军队,衣服,大批;vt.部署,穿着,排列"
94,arrival,1,"n.到来,到达,到达者"
95,artificial,2,"adj.人造的,假的,非原产地的"
96,artistic,14,"adj.艺术的,有美感的,风雅的"
97,ashamed,4,"adj.惭愧的,羞耻的"
98,aspect,2,"n.样子,外表,面貌,(问题等的)方面"
99,assembly,2,"n.集合,装配,集会,集结,汇编"
100,asset,1,"n.资产,有用的东西"
101,assignment,13,"n.分配,委派,任务,(课外)作业"
102,assistance,3,"n.协助,援助,补助,<英>国家补助"
103,assistant,3,"n.助手,助教;adj.辅助的,助理的"
104,association,2,"n.协会,联合,结交,联想"
105,assumption,3,"n.假定,设想,担任,承当,假装,作态"
106,assure,1,"vt.断然地说,确告,保证,担保"
107,atmosphere,12,"n.大气,空气,气氛"
108,atomic,2,"adj.原子的,原子能的,微粒子的"
109,attack,10,"n.进攻,攻击,(用语言)抨击,批评,疾病发作,侵袭;vt.攻击,抨击,动手处理(某事);vi.攻击"
110,attain,2,"vt.达到,获得;v.达到"
111,attitude,13,"n.姿势,态度,看法,意见"
112,attorney,2,"n.<美>律师,(业务或法律事务上的)代理人"
113,attraction,2,"n.吸引,吸引力,吸引人的事物"
114,attribute,4,"n.属性,品质,特征,加于,归结于"
115,audience,18,"n.听众,观众,接见,拜见"
116,authentic,3,adj.可信的
117,authority,4,"n.权威,威信,权威人士,权力,职权,典据,著作权威"
118,auto,2,n.<美口>汽车
119,automobile,1,"n.<主美>汽车(=<英>motorcar,car)"
120,available,43,"adj.可用到的,可利用的,有用的,有空的,接受探访的"
121,average,51,"n.平均,平均水平,平均数,海损;adj.一般的,通常的,平均的;vt.平均为,均分,使平衡,达到平均水平;vi.买进,卖出"
122,aviation,1,"n.飞行,航空,航空学,航空术"
123,award,3,"n.奖,奖品;vt.授予,判给"
124,awful,8,"adj.可怕的,威严的,<口>极度的,糟糕的"
125,bachelor,3,"n.单身汉,文理学士,幼雄兽"
126,backward,3,"adv.adj.向后地(的),相反地(的),追溯,退步,由好变坏"
127,bacteria,4,n.细菌
128,bake,1,"v.烘焙,烤,烧硬"
129,balloon,2,n.气球
130,bamboo,2,n.竹子
131,band,2,"n.带子,镶边,波段,队,乐队;v.联合,结合"
132,bankrupt,6,"n.破产者;adj.破产了的,完全丧失;vt.使破产"
133,banner,2,"n.旗帜,横幅,标语;"
134,banquet,1,n.宴会
135,bare,3,"adj.赤裸的,无遮蔽的,空的;vt.使赤裸,露出"
136,bargain,5,"n.契约,合同,成交商品,便宜货;v.议价"
137,barrier,1,"n.(阻碍通道的)障碍物,栅栏,屏障"
138,basically,5,"adv.基本上,主要地"
139,bat,1,"n.蝙蝠,球棒;v.用球棒击球;[计]批处理文件的扩展名;abbr.[军]BasicArmorTraining,装甲兵基础训练"
140,battery,1,"n.电池,殴打"
141,bearing,2,"n.轴承,关系,方面,意义,方向,方位"
142,beforehand,2,adv.预先
143,behalf,1,"n.为,利益"
144,behavior,21,"n.举止,行为"
145,belief,7,"n.信任,信心,信仰"
146,beneath,3,adv.在...之下;prep.在...之下
147,benefit,46,"n.利益,好处;vt.有益于,有助于;vi.受益"
148,besides,10,adv.此外;prep.除...之外
149,bet,2,"n.赌,打赌;v.赌,赌钱"
150,betray,2,"vt.出卖,背叛,泄露(秘密),露出...迹象"
151,beyond,31,"prep.在(到)...较远的一边,超过,那一边;adv.在远处;n.远处"
152,Bible,4,n.《圣经》
153,bid,5,"vt.出价,投标,祝愿,命令,吩咐;n.出价,投标;v.支付"
154,bind,1,"v.绑,镶边,装订,凝固,约束"
155,biology,7,"n.生物学,生物(总称)"
156,blank,41,"adj.空白的,空着的,失色的,没有表情的;n.空白,<美>表格"
157,blink,1,"v.眨眼,闪亮,无视"
158,board,17,"n.木板,(供特殊用途的)木板,甲板,膳食费用,会议桌,部;vt.用板盖上,包饭,提供膳食,上(船、飞机等)"
159,bold,2,adj.大胆的;n.粗体
160,bond,2,"n.结合(物),粘结(剂),联结,公债,债券,合同;v.结合"
161,bonus,2,"n.奖金,红利"
162,boom,4,"n.繁荣,隆隆声;v.发隆隆声,兴隆,大事宣传"
163,boot,5,"n.<美>(长统)靴,靴子;v.导入"
164,bore,1,"n.令人讨厌的人,怒潮,枪膛,孔;v.使烦扰,钻孔"
165,bound,10,"n.跃进,跳,范围,限度;adj.正要启程的,开往...去的,被束缚的,装订的;v.跳跃,限制"
166,brand,8,"n.商标,牌子,烙印;vt.打火印,污辱"
167,brave,1,adj.勇敢的
168,breadth,1,"n.宽度,(布的)幅宽,(船)幅"
169,breakthrough,1,n.突破
170,breed,1,"v.(使)繁殖,教养,抚养;n.品种,种类"
171,brew,1,"v.酿造,酝酿"
172,brick,1,"n.砖,砖块,砖形物(如茶砖,冰砖等),<口>心肠好的人"
173,brief,11,"n.摘要,大纲;adj.简短的,短暂的;vt.摘要,(军事)下达简令"
174,brilliant,1,"adj.灿烂的,闪耀的,有才气的"
175,bubble,2,"n.泡沫,幻想的计划;vi.起泡,潺潺的流"
176,bucket,1,"n.桶,一桶的量,[桶状物]铲斗"
177,budget,16,"n.预算;vi.做预算,编入预算"
178,bug,1,"n.小虫,臭虫;v.装置窃听器,打扰"
179,bulk,2,"n.大小,体积,大批,大多数,散装;vt.显得大,显得重要"
180,bunch,2,"n.串,束v.捆成一束"
181,bundle,1,"n.捆,束,包;v.捆扎"
182,bureau,1,"n.办公桌,衣柜;<美>局,办公署"
183,burst,2,"v.爆裂,炸破,急于,爆发;n.突然破裂,爆发,脉冲"
184,bust,1,"n.半身像,胸像,(妇女的)胸部"
185,bypass,1,"n.旁路;vt.设旁路,迂回"
186,cabinet,1,"n.(有抽屉或格子的)橱柜,<美>内阁;adj.<美>内阁的,小巧的"
187,cafeteria,4,n.自助餐厅
188,calm,3,"adj.(天气、海洋等)静的,平静的,镇静的,沉着的;v.(使)平静,(使)镇定,平息"
189,campaign,3,"n.[军]战役,(政治或商业性)活动,竞选运动;vi.参加活动,从事活动,作战"
190,canal,1,"n.运河,小道,导管,槽,沟渠;vt.开运河"
191,cancer,7,"n.癌,毒瘤"
192,candidate,5,"n.候选人,投考者"
193,candy,2,"n.糖果,冰糖;v.蜜饯,糖煮(水果)"
194,capable,5,"adj.有能力的,能干的,有可能的,可以...的"
195,capture,3,"n.捕获,战利品;vt.俘获,捕获,夺取"
196,career,32,"n.(原意：道路,轨道)事业,生涯,速度"
197,cargo,1,"n.船货,(车、船、飞机等运输的)货物"
198,carriage,1,"n.马车,客车,运费,姿态,（机械）车架"
199,carrier,1,"n.运送者,邮递员,带菌者,(自行车等)行李架,搬运器,航空母舰;n.[电]载波（信号）"
200,cartoon,1,"n.(报刊上的)政治性漫画,讽刺画,卡通画,漫画(常有解说词);v.画漫画;n.卡通片,动画片"
201,cash,11,n.现金;vt.兑现
202,cast,1,"n.投掷,铸件,脱落物,一瞥,演员表;v.投,抛,投射,浇铸,计算,派(角色)"
203,catalog,2,"n.目录,目录册;v.编目录"
204,category,4,"n.种类,别,[逻]范畴"
205,cater,1,"vi.备办食物,满足(需要),投合"
206,cattle,1,"n.牛,家养牲畜"
207,cautious,3,"adj.谨慎的,小心的"
208,census,2,n.人口普查
209,centigrade,1,"adj.分为百度的,百分度的,摄氏温度的"
210,cereal,1,"n.谷类食品,谷类"
211,certainty,1,"n.确定,确实的事情"
212,challenge,23,n.挑战;vt.向...挑战
213,champion,2,"n.冠军,拥护者,战士;vt.拥护,支持"
214,chaos,2,"n.混乱,混沌(宇宙未形成前的情形)"
215,chapter,2,n.(书籍中)章节
216,characteristic,4,"adj.特有的,表示特性的,典型的;n.特性,特征"
217,charge,18,"n.负荷,电荷,费用,主管,掌管,充电,充气,装料;v.装满,控诉,责令,告诫,指示,加罪于,冲锋,收费"
218,charity,7,"n.慈善,施舍,慈善团体"
219,charm,2,"n.吸引力,(女人的)魔力,魅力,符咒;vt.迷人,使陶醉,行魔法;vi.用符咒,有魔力"
220,charter,1,"vt.租,包(船、车等);n.宪章"
221,cheat,5,"n.欺骗,骗子;v.欺骗,骗取"
222,chemical,3,"adj.化学的;n.化学制品,化学药品;n.化学药品"
223,cherish,2,"vt.珍爱,怀抱(希望等)"
224,chief,20,"n.首领,领袖,酋长,长官,主要部分,最有价值的部分;adj.主要的,首要的,首席的,主任的"
225,childhood,13,n.孩童时期
226,chip,1,"n.碎片,筹码;v.削成碎片,碎裂;芯片"
227,chorus,1,"n.合唱,合唱队,齐声"
228,Christian,3,"n.基督徒,信徒;adj.基督教的,信基督教的"
229,chronic,1,"adj.慢性的,延续很长的"
230,cigarette,3,"n.香烟,纸烟"
231,circuit,2,"n.电路,一圈,周游,巡回"
232,circulate,1,"v.(使)流通,(使)运行,(使)循环,(使)传播"
233,circumstance,2,"n.环境,详情,境况"
234,cite,5,"vt.引用,引证,提名表扬"
235,civil,2,"adj.全民的,市民的,公民的,国民的,民间的.民事的,根据民法的,文职的,有礼貌的"
236,civilization,9,"n.文明,文化,文明社会,文明,一个著名游戏的名称"
237,claim,8,"n.(根据权利提出)要求,要求权,主张,要求而得到的东西;vt.(根据权利)要求,认领,声称,主张,需要"
238,clarify,1,"v.澄清,阐明"
239,clash,1,"n.冲突,撞击声,抵触;v.(使)发出撞击声,猛撞,冲突"
240,classic,3,"n.杰作,名著;adj.第一流的"
241,clerk,1,"n.职员,办事员,<美>店员"
242,client,2,"n.[计]顾客,客户,委托人"
243,climate,16,"n.气候,风土,思潮"
244,cling,4,"vi.粘紧,附着,紧贴,坚持(意见),墨守(习惯)"
245,clue,2,n.线索
246,clumsy,1,adj.笨拙的
247,coach,11,"n.四轮大马车,长途汽车,教练;v.训练,指导"
248,cognitive,2,"adj.认知的,认识的,有感知的"
249,collaboration,6,"n.协作,通敌"
250,collapse,3,"n.倒塌,崩溃,失败,虚脱;vi.倒塌,崩溃,瓦解,失败,病倒"
251,collection,4,"n.收藏,征收,搜集品,捐款"
252,collective,2,adj.集体的;n.集体
253,collision,1,"n.碰撞,冲突"
254,column,3,"n.圆柱,柱壮物,专栏,纵队"
255,combination,4,"n.结合,联合,合并,化合,化合物"
256,comet,14,n.彗星
257,comic,3,"n.滑稽演员;adj.滑稽的,喜剧的"
258,comment,10,"n.注释,评论,意见;vi.注释,评论"
259,commerce,9,n.商业
260,commit,6,"vt.犯(错误),干(坏事),把...交托给,提交,答应负责"
261,committee,5,n.委员会
262,communicate,14,"v.沟通,通信,(房间、道路、花园等)相通,传达,感染"
263,community,34,"n.公社,团体,社会,(政治)共同体,共有,一致,共同体,(生物)群落"
264,companion,2,"n.同伴,共事者"
265,compare,3,"v.比较,相比,比喻n.比较"
266,comparison,1,"n.比较,对照,比喻,比较关系"
267,compatible,1,"adj.谐调的,一致的,兼容的"
268,compel,1,"vt.强迫,迫使"
269,compensate,1,"v.偿还,补偿,付报酬"
270,competence,1,n.能力
271,competition,24,"n.竞争,竞赛"
272,competitive,8,adj.竞争的
273,complain,13,"v.抱怨,悲叹,控诉"
274,complaint,4,"n.诉苦,抱怨,牢骚,委屈,疾病"
275,complement,1,"n.补足物,[文法]补语,[数]余角;vt.补助,补足"
276,complicated,12,"adj.复杂的,难解的"
277,complication,1,"n.复杂化,(使复杂的)因素;n.[医]并发症"
278,comply,1,"vi.顺从,答应,遵守"
279,comprehension,2,"n.理解,包含"
280,comprise,2,"v.包含,由...组成"
281,compulsory,6,"adj.必需做的,必修的,被强迫的,被强制的,义务的"
282,conceal,2,"vt.隐藏,隐蔽,隐瞒;v.隐蔽"
283,concentrate,9,"v.集中,浓缩"
284,concentration,7,"n.集中,集合,专心,浓缩,浓度"
285,conception,1,"n.观念,概念"
286,concerning,2,prep.关于
287,conclude,3,"v.结束,终止,决定,作出结论;vt.推断,断定,缔结,议定"
288,condemn,1,"vt.判刑,处刑,声讨,谴责"
289,condition,20,"n.条件,情形,环境,社会地位;vt.以...为条件,使达到要求的情况"
290,conduct,6,"n.行为,操行;v.引导,管理,为人,传导"
291,conference,10,"n.会议,讨论会,协商会"
292,confidence,12,n.信心
293,confirm,4,"vt.确定,批准,使巩固,使有效;v.确认,(基督教中)给...行按手礼"
294,conform,8,"vt.使一致,使遵守,使顺从;vi.符合,相似,适应环境;adj.一致的,顺从的"
295,confront,4,"vt.使面临,对抗"
296,confuse,1,"vt.搞乱,使糊涂"
297,congratulate,1,"vt.祝贺,庆贺,恭喜"
298,conjunction,1,"n.联合,关联,连接词"
299,connection,4,"n.连接,关系,接线,线路,亲戚"
300,conquer,1,"vt.征服,战胜,占领,克服(困难等),破(坏习惯等)"
301,conscience,2,"n.良心,道德心"
302,conscious,10,"adj.有意识的,有知觉的,故意的,羞怯的"
303,consensus,2,"n.一致同意,多数人的意见,舆论"
304,consequence,2,"n.结果,[逻]推理,推论,因果关系,重要的地位"
305,consequently,5,"adv.从而,因此"
306,conservative,2,"adj.保守的,守旧的;n.保守派"
307,considerable,6,"adj.相当大(或多)的,值得考虑的,相当可观的"
308,consideration,16,"n.体谅,考虑,需要考虑的事项,报酬"
309,consist,1,"vi.由...组成,在于,一致"
310,consolidate,1,v.巩固
311,constant,8,"n.[数、物]常数,恒量;adj.不变的,持续的,坚决的"
312,constitute,3,"vt.制定(法律),建立(政府),组成,任命"
313,construct,3,"vt.建造,构造,创立"
314,consultant,2,"n.顾问,商议者,咨询者"
315,consumer,13,n.消费者
316,contact,34,"n.接触,联系;vt.接触,联系"
317,contemporary,6,"n.同时代的人;adj.当代的,同时代的"
318,contest,12,"n.论争,竞赛;v.,争论,争辩,竞赛,争夺"
319,contract,9,"n.合同,契约,婚约;v.使缩短,感染,订约"
320,contrast,11,"vt.使与...对比,使与...对照;vi.和...形成对照;n.对比,对照,(对照中的)差异"
321,contribution,11,"n.捐献,贡献,投稿"
322,controversial,4,"adj.争论的,争议的"
323,convenience,6,"n.便利,方便,有益,有用的,方便的用具、机械、安排等"
324,conventional,12,"adj.惯例的,常规的,习俗的,传统的"
325,convert,1,"n.皈依者;vt.使转变,转换...,使...改变信仰"
326,conviction,3,"n.深信,确信,定罪,宣告有罪"
327,convince,1,"vt.使确信,使信服"
328,cooperative,8,"adj.合作的,协力的"
329,coordinate,1,"n.同等者,同等物,坐标(用复数);adj.同等的,并列的;vt.调整,整理"
330,cop,1,"n.警官,巡警,[纺]管纱;vt.抓住"
331,cord,1,"n.绳索,束缚"
332,core,9,"n.果核,中心,核心"
333,corporate,5,"adj.社团的,法人的,共同的,全体的"
334,corps,1,"n.军团,兵队,团,兵种,技术兵种,特殊兵种,(德国大学的)学生联合会"
335,correspond,1,"vi.符合,协调,通信,相当,相应"
336,corresponding,154,"adj.相应的,通讯的"
337,corridor,2,n.走廊
338,costly,9,"adj.昂贵的,贵重的"
339,council,4,"n.政务会,理事会,委员会,参议会,讨论会议,顾问班子,立法班子"
340,counsel,1,"n.讨论,商议,辩护律师;vt.劝告,忠告"
341,county,2,"n.县,郡"
342,coupon,1,"n.息票,商家的优待券"
343,courtesy,1,"n.谦恭,允许,礼貌"
344,cozy,2,"adj.舒适的,安逸的,惬意的"
345,craft,4,"n.工艺,手艺"
346,crash,9,"n.碰撞,坠落,坠毁,撞击声,爆裂声;v.碰撞,坠落,坠毁,(指商业公司,政府等)破产,垮台"
347,create,28,"vt.创造,创作,引起,造成"
348,creation,6,"n.创造,创作物"
349,credit,33,"n.信任,信用,声望,荣誉,[财务]贷方,银行存款;vt.相信,信任,把...归给"
350,crew,3,"n.全体人员,(工作)队;vbl.crow的过去式"
351,criminal,8,"n.罪犯,犯罪者;adj.犯罪的,犯法的,罪恶的"
352,cripple,1,n.跛子;v.削弱
353,critic,4,"n.批评家,评论家,吹毛求疵者"
354,criticism,21,"n.批评,批判"
355,criticize,2,"v.批评,责备"
356,crowd,1,"n.人群,群众,一堆(东西),一伙;v.群集,拥挤,挤满"
357,crucial,9,adj.至关紧要的
358,crude,4,"adj.天然的,未加工的,粗糙的,拙劣的,粗鲁的;n.天然的物质"
359,cultivate,4,"vt.培养,耕作"
360,cumulative,1,adj.累积的
361,curb,4,n.路边
362,curious,3,"adj.好奇的,求知的,古怪的,爱挑剔的"
363,curl,1,v.(使)卷曲
364,current,41,"adj.当前的,通用的,流通的,现在的,草写的,最近的;n.涌流,趋势,电流,水流,气流"
365,curse,2,"n.诅咒,咒语,祸根,祸因;vt.诅咒,咒骂,降祸,使受罪"
366,curve,2,"n.曲线,弯曲,[棒球]曲线球,[统]曲线图表;vt.弯,使弯曲;vi.成曲形"
367,cushion,1,"n.垫子,软垫,衬垫;v.加衬垫"
368,cycle,2,"n.周期,循环,自行车,一段时间,整套,(电学)周波;vi.循环,轮转,骑自行车;vt.使循环,使轮转"
369,dairy,2,"n.牛奶场,奶品场,售牛奶,奶油,鸡蛋等的商店,奶制品"
370,data,56,"n.datum的复数,[计]资料,数据"
371,database,1,"n.[计]数据库,资料库"
372,deadline,4,n.最终期限
373,deadly,2,"adj.致命的,势不两立的,死一般的,极度的,必定的"
374,dean,6,"n.(大学)院长,主持牧师,(基督教)教长"
375,debt,17,"n.债务,罪过"
376,decade,16,"n.十年,十"
377,decay,2,"vi.&n.腐朽,腐烂,衰减,衰退;v.衰落"
378,decent,8,"adj.正派的,端庄的,有分寸的,(服装)得体的,大方的;adj.<口>相当好的、象样的"
379,decisive,2,adj.决定性的
380,decline,28,"vi.下倾,下降,下垂;v.拒绝,衰落;n.下倾,下降,下垂,斜面,斜坡,衰败,衰落"
381,decrease,8,"n.减少,减少之量;v.减少"
382,deem,1,"v.认为,相信"
383,defeat,1,"n.击败,战胜,失败;vt.击败,战胜,使失败,挫折;v.击败"
384,deficit,1,"n.赤字,不足额"
385,definite,2,"adj.明确的,一定的"
386,definition,17,"n.定义,解说,精确度,(轮廓影像等的)清晰度"
387,delete,2,vt.删除
388,delicate,3,"adj.精巧的,精致的,病弱的,脆弱的,微妙的,棘手的,灵敏的,精密的"
389,delicious,2,adj.美味的
390,demand,22,"n.要求,需求(量),需要;v.要求,需要,要求知道,查询"
391,democracy,1,"n.民主政治,民主主义"
392,demonstrate,1,"vt.示范,证明,论证;vi.示威"
393,density,7,n.密度
394,dentist,2,n.牙科医生
395,depart,1,"vi.离开,起程,不按照,逝世;adj.过去的,逝世的"
396,dependent,11,"adj.依靠的,依赖的,由...决定的,随...而定的"
397,depression,9,"n.沮丧,消沉,低气压,低压"
398,derive,7,vt.得自;vi.起源
399,descend,1,"vi.下来,下降,遗传(指财产,气质,权利),突击,出其不意的拜访;v.下去"
400,descent,2,"n.降下,降落,世系,血统,侵袭"
401,deserve,1,"vt.应受,值得;v.应受"
402,desirable,1,"adj.值得要的,合意的,令人想要的,悦人心意的"
403,despite,16,"prep.不管,尽管,不论"
404,dessert,1,n.餐后甜点
405,destiny,1,"n.命运,定数"
406,destructive,3,adj.破坏(性)的
407,detail,14,"n.细节,详情;vt.详述,细说;"
408,detect,2,"vt.察觉,发觉,侦查,探测;v.发现"
409,detective,2,n.侦探;adj.侦探的
410,deteriorate,1,v.(使)恶化
411,determine,6,"v.决定,确定,测定,使下定决心,[律]使终止"
412,device,6,"n.装置,设计,图案,策略,发明物,设备;[计]安装设备驱动程序"
413,devil,2,"n.魔鬼,恶棍"
414,dictate,1,"v.口述,口授,使听写,指令,指示,命令,规定;n.指示(指理智,变心)"
415,differ,9,"vi.不一致,不同"
416,digest,3,"v.散播,传播,漫射,扩散,(使)慢慢混合;adj.散开的,弥漫的"
417,dignity,3,"n.尊严,高贵"
