,单词,词频,单词释义
418,dilemma,1,"n.进退两难的局面,困难的选择"
419,diligent,1,"adj.勤勉的,用功的,细心而继续不断的"
420,dim,2,"adj.暗淡的,模糊的,无光泽的,悲观的,怀疑的;vt.使暗淡,使失去光泽;n.<美俚>笨蛋、傻子"
421,dip,1,"v.浸,蘸,沾"
422,diplomat,2,"n.外交官,有外交手腕的人,有权谋的人"
423,directly,11,"adv.直接地,立即"
424,directory,1,"n.姓名地址录,目录"
425,disappear,2,"vi.消失,不见"
426,disastrous,5,"adj.损失惨重的,悲伤的"
427,discard,2,"vt.丢弃,抛弃;v.放弃"
428,discharge,1,"vt.卸下,放出,清偿(债务),履行(义务),解雇,开(炮),放(枪),射(箭);vi.卸货,流注;n.卸货,流出,放电"
429,disclose,1,"vt.揭露,透露"
430,disease,22,"n.疾病,弊病"
431,disguise,2,"v.假装,伪装,掩饰;n.伪装"
432,disorder,7,"n.杂乱,混乱,无秩序状态;vt.扰乱,使失调,使紊乱"
433,display,13,"vt.陈列,展览,显示;n.陈列,展览,显示,显示器"
434,dispose,1,"v.处理,处置,部署;vt.布置,安排,除去,使愿意"
435,dispute,1,"v.争论,辩论,怀疑,抗拒,阻止,争夺(土地,胜利等);n.争论,辩论,争吵"
436,dissolve,1,"v.溶解,解散"
437,distinct,3,"adj.清楚的,明显的,截然不同的,独特的"
438,distinguish,3,"v.区别,辨别"
439,distract,1,v.转移
440,distribute,2,"vt.分发,分配,散布,分布,分类,分区;v.分发"
441,disturbance,1,"n.骚动,动乱,打扰,干扰,骚乱,搅动"
442,diverse,6,"adj.不同的,变化多的"
443,diversion,1,"n.转移,转换,牵制,解闷,娱乐"
444,divide,12,"v.分,划分,分开,隔开"
445,division,7,"n.分开,分割,区分,除法,公司,(军事)师,分配,分界线"
446,dizzy,1,"adj.(指人)晕眩的,昏乱的,(指地点,情况)使人晕眩的"
447,document,2,"n.公文,文件,文档,档案,文献;v.证明"
448,domestic,12,"adj.家庭的,国内的,与人共处的,驯服的"
449,dominant,4,"adj.有统治权的,占优势的,支配的;adj.[生物]显性的"
450,dominate,3,"v.支配,占优势"
451,donkey,5,"n.驴子,笨蛋,顽固者,(=donkeyengine)轻便发动机,(=donkeypump)辅助泵"
452,doom,3,"n.厄运,毁灭,死亡,世末日;v.注定,判决;著名的3D动作游戏"
453,dorm,1,n.<俗>宿舍(=dormitory)
454,dose,1,"n.剂量,(一)剂,(一)服;v.(给...)服药"
455,doubtful,5,"adj.可疑的,不确的,疑心的"
456,downward,2,adj.向下的
457,drag,2,"v.拖,拖曳,缓慢而费力地行动;n.拖拉"
458,drain,2,"n.排水沟,消耗,排水;vt.排出沟外,喝干,耗尽;vi.排水,流干"
459,drama,3,"n.(在舞台上演的)戏剧,戏剧艺术"
460,drastic,3,"adj.激烈的,(药性等)猛烈的"
461,drought,1,"n.干旱,缺乏"
462,dual,2,"adj.双的,二重的,双重"
463,dull,2,"adj.感觉或理解迟钝的,无趣的,呆滞的,阴暗的;vt.使迟钝,使阴暗,缓和;vi.变迟钝,减少"
464,earthquake,3,"n.地震,[喻]在震荡,在变动"
465,Easter,1,n.[宗](耶稣)复活节
466,echo,1,"n.回声,回音,回波;vi.发回声,随声附和;vt.摹仿,重复,反射;[计]禁止(或允许)在屏上显示批处理命令行"
467,economic,90,"adj.经济(上)的,产供销的,经济学的"
468,economical,1,"adj.节约的,经济的"
469,edition,5,"n.版本,版"
470,educate,3,"vt.教育,训练,培养;v.教育"
471,efficiency,16,"n.效率,功效"
472,efficient,10,"adj.(直接)生效的,有效率的,能干的"
473,ego,2,"n.自我,利已主义,自负"
474,elaborate,7,"adj.精心制作的,详细阐述的,精细;vt.精心制作,详细阐述;v.详细描述"
475,elderly,20,"adj.过了中年的,稍老的"
476,elect,2,"vt.选举,推选;v.选择,作出选择,选举,选举,选举"
477,electric,5,"adj.电的,导电的,电动的,电气"
478,electrical,1,"adj.电的,有关电的"
479,electricity,12,"n.电流,电,电学"
480,electronic,9,adj.电子的
481,elegant,3,"adj.文雅的,端庄的,雅致的,<口>上品的,第一流的"
482,elementary,2,"adj.初步的,基本的,[化]元素的,自然力的"
483,elevate,1,"vt.举起,提拔,振奋,提升...的职位"
484,eliminate,10,"vt.排除,消除;v.除去"
485,elsewhere,15,adv.在别处
486,embark,1,"v.上船,上飞机,着手,从事,装于船上,登上"
487,embassy,1,"n.大使及其随员,大使的派遣,大使馆"
488,embrace,1,"vt.拥抱,互相拥抱,包含,收买,信奉;vi.拥抱;n.拥抱"
489,emerge,1,"vi.显现,浮现,暴露,形成,(由某种状态)脱出,(事实)显现出来"
490,emit,2,"vt.发出,放射,吐露,散发,发表,发行"
491,emotional,14,"adj.情绪的,情感的"
492,emperor,1,"n.皇帝,君主"
493,emphasize,1,"vt.强调,着重;v.强调"
494,employee,5,"n.职工,雇员,店员"
495,employer,2,"n.雇主,老板"
496,enable,5,"vt.使能够,授予权利或方法"
497,encounter,4,"v.遭遇,遇到,相遇;n.遭遇,遭遇战"
498,ending,1,"n.结尾,结局"
499,endurance,3,"n.忍耐(力),持久(力),耐久(性)"
500,energetic,4,"adj.精力充沛的,积极的"
501,engage,10,"vt.使忙碌,雇佣,预定,使从事于,使参加;vi.答应,从事,交战,[机]接合,啮合"
502,engagement,1,"n.约会,婚约,诺言,交战,接站,雇拥,[机]接合"
503,engineering,16,n.工程(学)
504,enhance,12,"vt.提高,增强;v.提高"
505,enlarge,4,"v.扩大,放大"
506,enlighten,1,"vt.启发,启蒙,教导,授予...知识,开导,<古>照耀"
507,enrich,9,"vt.使富足,使肥沃,装饰,加料于,浓缩"
508,enroll,5,"v.[亦作enrol]登记,招收,使入伍(或入会、入学等),参加,成为成员"
509,ensure,22,"vt.保证,担保,使安全,保证得到;v.确保,确保,保证"
510,entertain,5,"vt.娱乐,招待,接受,怀抱;vi.款待"
511,enthusiasm,1,"n.狂热,热心,积极性,激发热情的事物"
512,entire,11,"adj.全部的,完整的,整个"
513,entity,2,n.实体
514,entrepreneur,1,"n.<法>企业家,主办人"
515,environment,51,"n.环境,外界"
516,envy,3,"n.&vt.羡慕,嫉妒"
517,equality,2,"n.等同性,同等,平等,相等,等式"
518,equip,2,"vt.装备,配备,训练,准备行装"
519,era,4,"n.时代,纪元,时期,[地]代"
520,erosion,1,"n.腐蚀,侵蚀"
521,error,4,"n.错误,过失,误差"
522,essay,55,"vt.企图,尝试;n.企图,散文,小品文,随笔,短文,评论"
523,essence,5,"n.基本,[哲]本质,香精"
524,establish,8,"vt.建立,设立,安置,使定居,使人民接受,确定;v.建立"
525,establishment,3,"n.确立,制定,设施,公司,军事组织"
526,estimate,2,"v.&n.估计,估价,评估"
527,ethnic,3,"adj.人种的,种族的,异教徒的"
528,evaluate,1,"vt.评价,估计,求...的值;v.评价"
529,event,5,"n.事件,事变,结果,活动,精力,竞赛"
530,evil,6,"adj.邪恶的,带来麻烦的,不幸的,有害的,诽谤的;n.邪恶,不幸,罪恶"
531,evolution,12,"n.进展,发展,演变,进化"
532,evolve,5,"v.(使)发展,(使)进展,(使)进化"
533,exaggerate,1,"v.夸大,夸张"
534,exception,11,"n.除外,例外,反对,异议"
535,exceptional,5,"adj.例外的,异常的"
536,excessive,19,"adj.过多的,过分的,额外"
537,exchange,6,"vt.交换,调换,兑换,交流,交易;n.交换,调换,兑换,交流,交易"
538,excitement,3,"n.刺激,兴奋,激动,搔动"
539,exclude,2,"vt.拒绝接纳,把...排除在外,排斥"
540,execute,4,"vt.执行,实行,完成,处死,制成,[律]经签名盖章等手续使(证书)生效"
541,execution,1,"n.实行,完成,执行,死刑,制作,(武器等的)破坏效果,杀伤力"
542,exert,2,"vt.尽(力),施加(压力等),努力;v.发挥,竭尽全力,尽"
543,exhibit,1,"vt.展出,陈列;n.展览品,陈列品,展品;v.展示"
544,exile,1,"n.放逐,充军,流放,流犯,被放逐者;vt.放逐,流放,使背井离乡"
545,expand,18,"vt.使膨胀,详述,扩张;vi.张开,发展"
546,expectation,4,"n.期待,预料,指望,展望,[数]期望(值)"
547,expense,4,"n.费用,代价,损失,开支,费钱之物"
548,experimental,3,"adj.实验的,根据实验的"
549,explicit,1,"adj.外在的,清楚的,直率的,(租金等)直接付款的"
550,exploit,5,"vt.开拓,开发,开采,剥削,用以自肥;v.使用"
551,explosion,2,"n.爆发,发出,爆炸,[矿]煤气爆炸"
552,export,2,"vt.输出;n.出口货,输出,出口,出口商品;v.出口"
553,expose,1,"vt.使暴露,受到,使曝光;v.揭露"
554,exposure,5,"n.暴露,揭露,暴光,揭发,揭露,位向,方向,陈列"
555,expression,4,"n.表达,表情,脸色,声调,腔调,榨出,语法,措辞;n.[数]式,表达式,符号"
556,extend,3,"v.扩充,延伸,伸展,扩大[军]使疏开,给予,提供,演化出的全文,<英>[律]对(地产等)估价"
557,extensive,2,"adj.广大的,广阔的,广泛的"
558,extra,19,"adj.额外的,不包括在价目内的,特大的,特佳的;adv.特别地,非常,另外;n.额外人(或物),(报纸)号外,上等品,(电影)临时演员"
559,extract,1,"n.精,汁,榨出物,摘录,选粹;vt.拔出,榨取,开方,求根,摘录,析取,吸取"
560,extravagant,1,"adj.奢侈的,浪费的,过分的,放纵的"
561,eyesight,9,"n.视力,目力"
562,facilitate,1,"vt.（不以人作主语的）使容易,使便利,推动,帮助,使容易,促进"
563,factor,11,"n.因素,要素,因数,代理人"
564,failure,11,"n.失败,失败者,缺乏,失灵,故障,破产,疏忽,<美>不及格"
565,fairly,5,"adv.公正地,正当的,公平对待某人,公平地,相当地,还算,清楚地"
566,fairy,1,"n.仙女,精灵,<美俚>漂亮姑娘;adj.仙女的"
567,faithful,1,"adj.守信的,忠实的,详确的,可靠的;n.信徒"
568,fake,1,"n.假货,欺骗;adj.假的;vt.伪造,赝造,捏造,假造,仿造;vi.伪装"
569,fancy,4,"adj.奇特的,异样的;vt.想象,设想,认为,爱好,自负;n.爱好,迷恋,想象力"
570,fantastic,2,"adj.幻想的,奇异的,稀奇古怪的,荒谬的,空想的"
571,fare,2,"n.费用,旅客,食物;vi.遭遇,进展,进步,经营,过活"
572,fascinate,2,"vt.使着迷,使神魂颠倒;vi.入迷,极度迷人的"
573,fashion,9,"n.样子,方式,流行,风尚,时样;vt.形成,造,作,把...塑造成,使适应,使适合,改革,改变"
574,fashionable,2,"adj.流行的,时髦的"
575,fatal,4,"adj.致命的,重大的,命运注定的,不幸的,致命的,毁灭性的"
576,fate,1,"n.天数,命运,运气;vt.注定,送命"
577,faulty,2,"adj.有过失的,有缺点的,不完美的,不完善的"
578,fearful,3,"adj.可怕的,吓人的,恐怕的,严重的"
579,feast,1,"n.节日,盛宴,筵席,宴会,酒席;vt.盛宴,款待,享乐,请客;vi.参加宴会,享受"
580,feature,9,"n.面貌的一部分(眼,口,鼻等)特征,容貌,特色,特写;vt.是...的特色,特写,放映;vi.起重要作用"
581,federal,8,"adj.联邦的,联合的,联邦制的,同盟的;n.(南北战争)北部联邦同盟盟员;连邦软件公司,国内正版经销商"
582,fee,4,"n.费(会费、学费等),酬金"
583,feedback,8,"n.[无]回授,反馈,反应"
584,female,17,"n.女性,女人,雌兽;adj.女性的,女子的,妇女的,雌的,柔弱的,(声,色)柔和的"
585,feminine,1,"adj.妇女(似)的,娇柔的,阴性的,女性的"
586,fertile,2,"adj.肥沃的,富饶的,能繁殖的"
587,fiction,6,"n.虚构,编造,小说"
588,fierce,3,"adj.凶猛的,猛烈的,热烈的,暴躁的<美>极讨厌的,难受的,<英方>精力旺盛的"
589,filter,1,"n.滤波器,过滤器,滤光器,筛选;vt.过滤,渗透,用过滤法除去;vi.滤过,渗入,(消息等)走漏,慢慢传开"
590,finance,10,"n.财政,金融,财政学;vt.供给...经费,负担经费;vi.筹措资金"
591,finding,28,"n.发现,发现物,决定,[律]裁决"
592,flash,1,"[计]动画编辑工具;n.闪光,闪现,一瞬间;vi.闪光,闪现,反射,使迅速传便;vt.使闪光,反射;adj.闪光的,火速的"
593,flat,5,"adj.平坦的,扁平的,单调的,干脆的,无聊的;adv.平直地,正好,断然地;n.平面,一层,公寓;v.(使)变平,(使)降半音"
594,flexible,10,"adj.柔韧性,易曲的,灵活的,柔软的,能变形的,可通融的"
595,flip,2,"vt.掷,弹,轻击,鞭等抽打,空翻;vi.用指轻弹,抽打,翻书页(或纸张),蹦跳;n.抛,弹,筋斗;adj.无礼的,冒失的,轻率的"
596,flood,1,"n.洪水,水灾,(因雨)涨潮,[诗]水;vt.淹没,使泛滥,注满,充满;vi.被水淹,溢出,涌进,喷出,涌出"
597,flour,1,n.面粉
598,focus,48,"n.(兴趣活动)中心,焦点,焦距,[医]病灶,地],震源;vi.聚焦,注视;vt.使集中,在焦点上,定焦点,调焦,集中"
599,fog,1,"n.雾,烟雾,尘雾,迷惑,苔藓;vi.被雾笼罩,变模糊;vt.使困惑,以雾笼罩"
600,folk,5,"n.人们,亲属(复数),民族;adj.民间的"
601,forbid,2,"vt.禁止,不许;v.禁止"
602,forecast,1,"n.先见,预见,预测,预报;vt.预想,预测,预报,预兆"
603,foremost,2,"adj.(位置或时间)最先的,最初的,最重要的;adv.首要地,首先"
604,formal,10,"adj.外形的,正式的,合礼仪的,形式的,整齐匀称的;n.正式的社交活动"
605,format,4,"n.开本,版式,形式,格式;vt.安排...的格局(或规格),[计]格式化(磁盘)"
606,formation,1,"n.形成,构成,编队"
607,formulate,1,"vt.用公式表示,明确地表达,作简洁陈述;v.阐明"
608,forth,2,"adv.往前,向外"
609,forum,5,"n.古罗马城镇的广场(或市场),论坛,法庭,讨论会"
610,fossil,1,"n.化石,僵化的事物;adj.化石的,陈腐的,守旧的"
611,foster,1,"vt.养育,抚育,培养,鼓励,抱(希望);n.养育者,鼓励者"
612,foundation,11,"n.基础,根本,建立,创立,地基,基金,基金会"
613,fraction,2,"n.小部分,片断,分数"
614,frame,3,"n.结构,体格;vt.构成,设计,制定,使适合,陷害;vi.<英方>有成功希望;n.帧,画面,框架"
615,frank,4,"adj.坦白的,率直的,老实的;vt.免费邮寄;n.免费邮寄特权"
616,fraud,1,"n.欺骗,欺诈行为,诡计,骗子,假货"
617,frequency,1,"n.频率,周率,发生次数"
618,frog,1,n.青蛙;vi.捕蛙
619,frown,1,"vi.皱眉,蹙额,不赞成,反对;v.皱眉"
620,fuel,16,"n.燃料;vt.加燃料,供以燃料;vi.得到燃料"
621,fulfill,4,"vt.履行,实现,完成(计划等)"
622,fund,6,"n.资金,基金;v.支助,投资"
623,fundamental,2,"adj.基础的,基本的;n.基本原则,基本原理"
624,funeral,1,"n.葬礼,出殡"
625,furniture,22,"n.家具,设备,储藏物"
626,fuss,4,"n.忙乱,大惊小怪,大惊小怪的人;v.忙乱,大惊小怪"
627,gallery,8,"n.走廊、戏院、教堂等中最高的楼座,美术陈列室,画廊,图库"
628,gap,12,"n.缺口,裂口,间隙,缝隙,差距,隔阂"
629,gardener,2,n.园丁
630,gasoline,8,n.汽油
631,gaze,1,"v.盯,凝视;n.凝视"
632,gear,1,"n.齿轮,传动装置;v.调整,(使)适合,换档"
633,generally,28,"adv.一般,通常,一般地"
634,generate,8,"vt.产生,发生"
635,generous,6,"adj.慷慨的,大方的,有雅量的"
636,genetic,6,"adj.遗传的,起源的"
637,genius,1,"n.天才,天赋,天才人物"
638,gesture,14,"n.姿态,手势,表示;v.作手势,以手势表示"
639,giant,6,"n.巨人,大力士,巨大的动物或植物,伟人,天才;adj.庞大的,巨大的"
640,given,125,"adj.赠予的,沉溺的,特定的,假设的;vbl.give的过去分词"
641,glance,4,"vi.扫视,匆匆一看;n.一瞥,眼光,匆匆一看"
642,global,46,"adj.球形的,全球的,全世界的"
643,globe,2,"n.球体,地球仪,地球,世界"
644,gloomy,6,"adj.黑暗的,阴沉的,令人沮丧的,阴郁的"
645,glorious,2,"adj.光荣的,显赫的"
646,glory,1,"n.荣誉,光荣"
647,golf,4,n.高尔夫球;vi.打高尔夫球
648,govern,1,"v.统治,支配,管理"
649,grab,1,"v.抢夺,攫取,夺取"
650,gradual,2,"adj.逐渐的,逐步的,渐进的"
651,grain,20,"n.谷物,谷类,谷粒,细粒,颗粒,粮食"
652,grammar,5,"n.文法,有关原理的书,入门的书"
653,grand,2,"adj.盛大的,豪华的,重大的,主要的,极重要的"
654,grape,1,"n.葡萄,葡萄树"
655,grasp,3,"vt.抓住,抓紧,掌握,领会;n.抓住,抓紧,掌握,领会"
656,gratitude,2,n.感谢的心情
657,greenhouse,6,"n.温室,花房"
658,grief,6,"n.悲痛,伤心事,不幸,忧伤"
659,gross,2,"adj.总的,毛重的;n.总额"
660,guarantee,7,"n.保证,保证书,担保,抵押品;vt.保证,担保"
661,guardian,1,"n.护卫者,保护人,监护人;adj.守护的"
662,guideline,3,n.方针
663,gum,2,"n.齿龈,树脂,橡胶,橡胶树,口香糖,香口胶,泡泡糖"
664,gym,9,"gymnasium体育;n.体育馆,体操"
665,handful,5,"n.一把,少数"
666,handle,13,"n.柄,把手,把柄,口实,手感;vt.触摸,运用,买卖,处理,操作;vi.搬运,易于操纵;n.[计]句柄"
667,handwriting,4,"n.笔迹,书写体,书法,笔势"
668,handy,3,"adj.手边的,就近的,唾手可得的,便利的,敏捷的,容易取得的"
669,hardship,4,"n.困苦,艰难,辛苦"
670,hardware,3,"n.五金器具,(电脑的)硬件,(电子仪器的)部件"
671,harm,23,"vt.伤害,损害;n.伤害,损害"
672,harmony,4,"n.协调,融洽"
673,harsh,2,"adj.粗糙的,荒芜的,苛刻的,刺耳的,刺目的"
674,haste,1,"n.匆忙,急忙"
675,hay,1,n.干草
676,heading,2,n.标题
677,headquarters,1,"n.司令部,指挥部,总部"
678,hearing,2,"n.听力,听觉,听取意见,听讼;v.倾听"
679,helpful,6,"adj.有帮助的,有用的,有益的"
680,helpless,1,"adj.无助的,无能的,没用的"
681,heritage,2,"n.遗产,继承权,传统"
682,hesitate,2,"v.犹豫,踌躇,不愿"
683,highlight,3,"n.加亮区,精彩场面,最显著(重要)部分;vt.加亮,使显著,以强光照射,突出"
684,hinder,5,"adj.后面的;v.阻碍,打扰"
685,hint,1,"n.暗示,提示,线索"
686,hire,16,"n.租金,工钱,租用,雇用;vt.雇请,出租;vi.受雇"
687,historic,3,"adj.历史上著名的,有历史性的"
688,hobby,3,n.业余爱好
689,homogeneous,5,"adj.同类的,相似的,均一的,均匀的"
690,hopeful,3,"adj.怀有希望的,有希望的"
691,hopeless,1,"adj.没有希望的,绝望的,不可救药"
692,horn,1,"n.(牛、羊等的)角,喇叭,触角;v.装角"
693,horror,5,"n.惊骇,恐怖,惨事,极端厌恶"
694,household,5,"n.一家人,家庭,家族,王室;adj.家庭的,家族的,家属的,普通的,平常的"
695,hum,1,"v.嗡嗡叫,哼;n.嗡嗡声,吵杂声"
696,humorous,3,"adj.富幽默感的,滑稽的,诙谐的,想入非非的,异想天开的"
697,humour,1,"n.幽默,诙谐"
698,hydrogen,2,n.氢
699,hypothesis,1,n.假设
700,ideal,10,"n.理想;adj.理想的,完美的,想象的,观念的,唯心论的"
701,identical,8,"adj.同一的,同样的"
702,identification,2,"n.辨认,鉴定,证明,视为同一"
703,identity,9,"n.同一性,身份,一致,特性,恒等式"
704,idle,2,"adj.空闲的,懒惰的,停顿的,无用的;vi.不做事,游手好闲,(机器)空转,虚度,不作事,游手好闲,浪费;vt.虚度,使空闲,使空转"
705,ignorance,2,"n.无知,不知"
706,ignorant,1,adj.无知的
707,illegal,2,"adj.违法的,不合规定的"
708,illusion,1,n.幻想
709,image,13,"n.图象,肖像,偶像,形象化的比喻,极为相象,映像,典型;vt.想象,作...的像,反映,象征"
710,imaginary,2,"adj.假想的,想象的,虚构的"
711,imitate,3,"vt.模仿,仿效,仿制,仿造;v.模仿"
712,immediately,10,"adv.立即,马上,直接地"
713,immense,2,"adj.极广大的,无边的,<口>非常好的"
714,immerse,1,"vt.沉浸,使陷入"
715,immune,1,adj.免疫的
716,impatient,3,"adj.不耐烦的,急躁的,不耐心的"
717,implement,3,"n.工具,器具;vt.贯彻,实现;v.执行"
718,implication,1,"n.牵连,含意,暗示"
719,imply,15,"vt.暗示,意味"
720,import,5,"n.进口货(常用复数),进口,输入,意思,重要性;vt.输入,进口,含...的意思,重要,引入;vi.有关系,有重要性"
721,impose,2,"vt.征税,强加,以...欺骗;vi.利用,欺骗,施影响"
722,impress,1,"vt.印,盖印,留下印象"
723,impressive,1,"adj.给人深刻印象的,感人的"
724,improvement,17,"n.改进,进步"
725,impulse,3,"n.推动,刺激,冲动,推动力;vt.推动"
726,incentive,1,n.动机;adj.激励的
727,incidence,1,"n.落下的方式,影响范围,[物理]入射"
728,include,26,"vt.包括,包含"
729,inclusive,3,"adj.包含的,包括的"
730,incorporate,1,"adj.合并的,结社的,一体化的;vt.合并,使组成公司,具体表现;vi.合并,混合,组成公司;vt.[律]结社,成为法人组织"
731,incredible,2,adj.<口>难以置信的
732,independence,21,"n.独立,自主"
733,independent,12,"n.中立派,无党派者;adj.独立自主的,不受约束的"
734,indicate,8,"vt.指出,显示,象征,预示,需要,简要地说明"
735,indication,1,"n.指出,指示,迹象,暗示"
736,indifferent,2,adj.无关紧要的
737,indirect,1,"adj.间接的,迂回的"
738,individual,18,"n.个人,个体;adj.个别的,单独的,个人的"
739,indoor,1,"adj.户内的,室内的"
740,indulge,1,v.纵容
741,inevitable,9,"adj.不可避免的,必然的"
742,infant,8,"n.婴儿,幼儿;adj.婴儿的,幼稚的"
743,infer,3,v.推断
744,inferior,2,"adj.下等的,下级的,差的,次的,自卑的,劣等的"
745,infinite,1,"n.无限的东西(如空间、时间),[数]无穷大;adj.无穷的,无限的,无数的,极大的"
746,influence,29,"n.影响,感化,势力,有影响的人(或事),(电磁)感应;vt.影响,改变"
747,influential,1,"adj.有影响的,有势力的"
748,ingredient,4,"n.成分,因素"
749,inherent,1,"adj.固有的,内在的,与生俱来的"
750,inherit,1,"vt.继承,遗传而得"
751,initial,7,"adj.最初的,词首的,初始的;n.词首大写字母"
752,initiative,3,n.主动
753,injury,8,"n.伤害,侮辱"
754,inland,2,"adj.内陆的,国内的;adv.在内地,向内地;n.内地"
755,inner,5,"adj.内部的,里面的,内心的;n.内部"
756,innocent,1,"adj.(～of)清白的,无罪的,天真的,无知的"
757,input,4,n.输入;v.输入
758,inquire,3,"v.询问,问明,查究"
759,inquiry,1,"n.质询,调查"
760,insight,7,"n.洞察力,见识"
761,insist,3,"v.坚持,强调"
762,inspect,1,"vt.检查,视察;"
763,installation,1,"n.[计]安装,装置,就职"
764,instance,22,"n.实例,建议,要求,情况,场合;vt.举...为例,获得例证"
765,instant,7,"adj.立即的,直接的,紧迫的,刻不容缓的,(食品)速溶的,方便的,即时的"
766,instead,36,"adv.代替,改为,抵作,更换"
767,institute,1,"n.学会,学院,协会;vt.创立,开始,制定,开始(调查),提起(诉讼)"
768,instruct,2,"vt.教,教导,命令,指示,通知"
769,instrument,2,"n.工具,手段,器械,器具,手段"
770,insult,1,"n.侮辱,凌辱;vt.侮辱,凌辱"
771,insure,1,vt.给...保险;v.确保
772,integrate,1,"vt.使成整体,使一体化,求...的积分;v.结合"
773,intellectual,5,"adj.智力的,有智力的,显示智力的;n.知识分子"
774,intelligent,3,"adj.聪明的,伶俐的,有才智的,[计]智能的"
775,intend,2,"vt.想要,打算,意指,意谓"
776,intensify,4,vt.加强;vi.强化
777,intensive,1,"adj.强烈的,精深的,透彻的,[语法]加强语气的;n.加强器"
778,intention,4,"n.意图,目的"
779,interaction,9,"n.交互作用,交感"
780,interest,48,"n.兴趣,关心,重要性,影响,利息,利益,利害;vt.使发生兴趣,引起...的注意"
781,interfere,4,"vi.干涉,干预,妨碍,打扰"
782,interference,3,"n.冲突,干涉"
783,interior,1,"adj.内部的,内的;n.内部"
784,internal,2,"adj.内在的,国内的"
785,interpretation,4,"n.解释,阐明,口译,通译"
786,intervene,2,"vi.干涉,干预,插入,介入,(指时间)介于其间;v.干涉"
787,intimate,1,"adj.亲密的,隐私的;vt.宣布,明白表示;n.熟友"
788,introduction,2,"n.介绍,传入,初步,导言,绪论,入门"
789,invade,2,"vt.侵略,侵袭,拥挤"
790,invaluable,1,"adj.无价的,价值无法衡量的"
791,invasion,1,n.入侵
792,invention,2,"n.发明,创造"
793,invest,14,"v.投(资),购买(有用之物)～,授予,投资"
794,investigate,2,"v.调查,研究"
795,invisible,1,"adj.看不见的,无形的"
796,involve,9,"vt.包括,笼罩,潜心于,使陷于"
797,irrigation,4,"n.灌溉,冲洗"
798,issue,14,"n.出版,发行,论点,问题,结果,(水血)流出;vi.发行,流出,造成...结果,辩护,传下;vt.使流出,放出,发钞,发令,出书;[律]子女,后嗣"
799,jail,1,n.监狱;vt.监禁
800,jeans,4,"n.斜纹布裤,牛仔裤"
801,jewel,2,n.宝石
802,jog,1,"n.轻推,轻撞,漫步;v.轻推,(使)蹒跚行进,(使)慢跑"
803,journal,2,"n.定期刊物,杂志,航海日记,分类账"
804,journalist,1,"n.新闻记者,从事新闻杂志业的人"
805,judgement,1,"n.审判,判决,判断力,意见,看法,评价"
